name,branch,description,pubkey
coderdojo-gifu,gifu,CoderDojo岐阜のサーバーです。マインクラフトサーバーに使わせていただく予定です。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDDkkvJd9Car0rNuLI2BpTlSsH1YiVP48lJeITYiW7s4MLUJ6OD/lfUPpPy3R0lv9r+jXZUDmueIr/5Nr3uZz3pt6klIA9uqYl7zkVPSyVjLPuMVWyzuAAB/JKbT5dI5IAKhjB+4qUrUkrmqvD4byAhcnmVp1OqWjmBNrHevzzj260JdVsbLLobKFCNR4x5vhJBz4U/1pqieXeIaiOs+u9vnpz3q73DKnOBxeOCUJ2HLEmYi7a/cIayrahIQIMUp7dD0do4L1driktTtUQBxnhz+BcvwErl8ziIwTCo7dQ1Lhrk7vP7aulKxtyD4w1OExcKU6XFf2DcQ5gw1TuCX9AL kojikuno@kojikuno.local
coderdojo-inuyama,inuyama,CoderDojo犬山のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCsMnD3aLfA/b6pbdfL4hOqlCHIW8lQKfAlwC93b+qK49y51ITO/4H6zl89Tt+KNS67Hx6HQ8IfXdYVwaZSoYaJxEIs9tIMBnUU0/YCblpn5RIAuLG/FmDaJ7pMYTNu50M/yZjCwIfBAIQAWexQ+D8cqMkTygPj9CVovpoVhHAb/51ZPniP82pf4nywdF6Tq4n6xkXIem7sAopj5eBBPao3jWdpnX17OXPPmqEzC3Baks07025O6EQ60EPi8gUIRwjvVRgYZEj3cP36qBrI56NkhmSTCtIIh4VMYIhb87qq+kUEkJQYrt7QE4yfgoKtwf3bPykNKWWsIYocH/2SLYW7 ertama@MacBook-Pro.local
coderdojo-eniwa,eniwa,CoderDojo恵庭のサーバーです。DojoのWebサイトとして利用します,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDVJLTjEVpzxHJ6iUNoicVGd/kMHVIvPbf+xiFcI/3CXe3lsfq8YrlKAYjylP3r41UYZIoqVS6QqvEg6wh4AaNsiCAl3AxCVDdKf06ljuuvfAo5bnZNjgHYG8kWb67aZ9qeyQm0uCbF4c6B1CAH3jW1hiDVxqR0jb9WAiih6pOC1yutJ5rEOKg95+tR6v5laAhpeD4f6DmH6t71YA7TD6uBMp1gc88ZfKwmyS6TOFXEWRdVipFKRKeIQiDie+r2XqVdsWO4WABSPZiaW1MuOCgSE0BEl1VsZ42b4OMHwDan3Mm9qe9I09d2sf67TC5jl7UpbyRfSRxJZPMz4HscaBj5 kudo@dojo
coderdojo-higashi-sumiyoshi,higashi-sumiyoshi,CoderDojo東住吉用サーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQDNnQysjUbWPnNLGMr1wY4mxDTTZcuHz+roghlaneYPDyt/Ua4oD/tlQRnxmhAPXldewv4t1Vr29japbOyezAFm/QrOyyW7G+lpjDTyPCVvZLr0Ycmyu0gP1Za8M7/3AC8wLGktdcnGpe3uLk+5HVKUlhWQcltYUQOMeadHhY4DNT/rlQtkubctqtISJUT1pyE5eusoLpU20qdqbhfaV/P4F+gtSKtkrtJ4YrRaK16ZDCtQ5g3w5CgTy1SOnSsGexgOw4c41YdkHGfBYhg5XOsv4+bwYVLNX6YJNSZyQvRdEQDfpsde5qfkG8GtWiMg48tOulkkux0fhR+FbL02sBqjQaxn4K4q1k2aXMa/aUq+j46GgnYDWKOJzsy1es2WJNYBB/VTNedctl19uR6Xy23+3sP6v30Vk7mjfgf/gI1JK6EyN7BTTjy2l063q++caPYdyy8VEJVqjVx/zgaiH++zPxU6d/6RMQIi6oKd970h7LVsnnUIJOd6F3JbLeoShqlj+nLK5aAOTiP7yUv4ymj8g/V3b92nNcTQ8ya271i0MRBRJ01UInShmlK1QaqrH3cpyp3i90yKuwB1pKbhZjWmGp+Y+PD5XwQaxlCCQBCTvB4FPE8l+7ms9PEPQx/SOw3sObXd+EMPe/tkrRxwpEFVYKU994qQlnnn6t9XP7LkxQ== higashisumiyoshi.jp@coderdojo.com
coderdojo-kichijoji,kichijoji,CoderDojo吉祥寺のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCkOmFwzZ7mnulUMChVQYaFfMgvNzcEGRpXBIFrSNmJ9sP3FBu9+ozEMCl4l55oqmQGGV2JPWFdQiwxcXyq5chFA3XBY9+j0D1qpdM9bY4HT57ebrJ0fLZURDtT4NDH7N2DHN8K928DMor0JoxgpePrypdrCF0HrObeKLGfzP1QsK4flwfVsMj0ZRnjtHXI/MRywyxrbpFefdK9jwr2If/onjG6FAObEouo+ahsql5YeR7HJmfXshjTVm4BjQsnu7NULE/lz0FhfL9EiksrZLK0ctlhILS49JQjnqfqaS5O63bUBPOTK+EJRNic7PoYe8D+5D6rMBASS/hI6QejuvKx pi@raspi3
coderdojo-iyo,iyo,CoderDojo伊予のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDCuQ2TssnIkJhRx/UBUY6NHNOLoGCbiAv1l9D7BdVi2hypm70Bsx0rDLPfIxkVHb81ULE1J2WL9kACg3gemNCYCGTB0nXIz3Vypjz7y+gZFiX1WvjiHtNF1fadqB/xo9sghVgRFV2o2IRyUZasTV3ZFv0hTSFUtlQbS5/kdrYYwTGUi0Bz8UMOi+5Girtg2cbB5H+fOgzPEuVdsIEg6Mh6bMuiKtejU9rqzNJY6hrb72i5bILVrv8w34MR8kLreQt1TRhMMVu16GsL1WsVkv2j22gFpxIMHeRWUkLXYvOhD1p1+CjNaCxVkC9iB6r9pY+v9l/U84myTMGE9tvfvOIz Mayumi@mayumi-macbook.local
coderdojo-kasuga,kasuga,CoderDojo春日のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABgQC/6sUPwx1KmvI5S5G7+ouz7cp5R4TZ/Xc6HnTYXwZTHvB8/PIvdTdPcaEAZyKo1PQsqQLT1jR0/QErhmmVv3pcrMeAFDxjz81vUyDAdHDbma1EZn72zMUY+TO0V/kok/W5mV62lJoRyOKCtBghv11oaRpnrjnYMgTUo8mNHHMhRxbTcEyH5p9GcF/83qGSmYDIQGGLEOAv0baNj/B/tt48AG6+1XA0b5Zwsha6MVbBC8ZX7Bkx3nV/Q7ZgpABLy5MsxPurUK4NrNTtGjOPpSQ6A34hRpuKrch0tOQ7NF5IoQKL/7BS5lEbY0CwJOot2bCzTTuz50sxE6ENQqmvPqO0158q1lvBmny52uAODiXnGdzKqfbLH19SnjPMRCMq2jzmFBY2ZB2BvDADEYkuJKtKXg3SfkJRNUuKOE5rCVjOdUENFQQJmNhPRipLAQuu2Tas0YOGLim1NR25h8H9mLdDdJn9e8BnjkeNRgJsBXTz/85Fn2KpnpcL+cPof3NYzu0= coderdojokasuga
coderdojo-kashii,kashii,CoderDojo香椎のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABgQC+QCB+JIJocopdUViD6trEuy+Ut9TVmghDe1oZC78p0XsN4eEfbnDtt9FHNtE2O+FBFsFVZAP5X5jHOZgPfIzpKJv/ks2StbTgteK2wIqIyBThGiPhZjk8njPLIaUVMVt1dVTCYFYj40ys/Yy7W2UPpX3EsWCQkIDiXXjASQYNJ/K2VylLoo52mVOhp8NpnT7EWIRhCc7+U8jBnrHnW1tSRqiIW3qtP2GT7LLEi7WJNWHoYjdvQvYj7u6UUqJv2Q1x5h5YHkSxhjeBfkP0rcsF2MScQp+TTKnS3SRBG1EmPJhulvhl+bNrH91dI+dpLUHxiheJid672JSm1KtZecLLbocnMfn5ZqE42xotWYFLX02/HVpPOfb53SrwFCVwW4CwMw/IQ1fAbKEvhNQxHHDLEtPSwPKlZPKrPY4RtQa4LhvNzjx7fK99CnxYlUT8vps5p8IA6iik1qPa1J4ivoVDnKPF3lFoozQj2YXUa+ado/ZO0TwNlyx5rC5aID3i4zk= a-utsuki@DESKTOP-UFKF2KM
coderdojo-atsugi,atsugi,CoderDojo厚木のサーバです。,ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEAq/RWpuuUu7CHDUGGph0UKkEX/Dt1HEg6c2gMM116opW9/ik61VXx86moaWQqHZOAdx3Nuzx+3BTHveayseHLCsT5X7F2OAtcgcyiTK9kUyjqH6h/HNj8dGpYD2v45XlqkizCwk3FCW4lBwhclrYgriRpebojbg0BBcfGtzoDiH8jHVX/lxETSJ6Sit2NXtS7ydKqhHgN0vtusPY3qLsyjUSg1aVTMlvyLMfKERAhInCGDHQyK2LIFvV3H3nh1x8U8VBqHOBbuLl4cHC3fLCLZMlIFIpBNN8Vnriyg4d9y2Mo5hllkUe/1dtqfC896D/bpc7eWDHgdUpfbwGeKzTeGQ== CoderDojo-Atsugi
coderdojo-fukuyama-daimon,fukuyama-daimon,CoderDojo福山大門のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEA0ZWxcQTBQuwHCPT95n+aQjkeboQYj/9/UtgEw8IDGh53aexiJ6sa/2cljUIEqoRNy8HObLFP1OYHKx+vw33J4hqKYH5RLyVyOLwBrTENMMPl9wrbNMKqYB+728jjrkEOC8lY4GVFNtYFkNIQjiaKLkhhHOh7u7L12cjNnrsiL3kUVzkZz4PrLGoIHlO+aEUJTRXBa93Gh+PQcdP/knXokx1iiz7UaDC39Ao1jp1uIzuLEVHHx2llfTLw+XsirJgdM/CmzE7EKjbKIMd1QmX2/6oiFAVFXdubgvbI52gI+8LdCKPnSbmPK+Qd7KmMLkGfl6OW17PdaHPaq4UvUc1cZw== MIEVAIO@MIEVAIO
coderdojo-suehirocho,suehirocho,Coderdojo末広町のサーバです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABgQDgfZ+sh3V4nBjPFIPLA503EwgKJvtWG3/nFUqwCZ/CjB0IIaGQX1lmI7Fv4RZL62HJwWrccID81JewvbMeM1dCeBYTbampA/m1dJ0vseYUoYCm5/L1yw07wKKGa/s+Qme3AvrTZF7CbIwxvMdog8H1KPvnNrVbzAgmjhed50MiCWb92NpisOytA5tBs+SEC8nPpznRJpzf98AdJEfPHg1V16+Q6R8TzGkditPpEbTPPtgiN/LBVnReBA7SU+/C4yPlQ24vkxz5SEWNJJylg0qBDAQDjr9hSd/aOETmgqNnduAWH3O1BKHlMiVRheEBNJoPFfgixNvssrmUclVIqV8k9dAeMqLvXWao5FsgdcsNkTCh99IHTWOYqlgLULJ9tZAuxZEjBYBQnmLssRCoLItnENkK1IjwFu8VMH19MM9Tj/1vE1zzcI+RscgQPaa06HIGAYElVyphpL1ldztzCpH8bFGnOst5Q2TSlNRrfbj9uG+ta1SeVWTphR2v9wHJCwU= urushibata@urushibata-win
coderdojo-kodaira,kodaira,Coderdojo小平のサーバです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCA2cVcfPqUpHauvcWFCAXqymJfGs25cGqlpa3KRNcvrrN3cuxi3KU7i3OJduZB3mrP4GE1paRw6a405S37G570c1iy4ZHEOi06oha7RTwRmjgwPK/9DjUDhphofA76z4Y26I2ESeojLD2e6PK8aGFoxRyd6Uh8pPfGzc7br9zhdqRAvPryZauLai7zohDLnJ8+jURCyYmIBw5cUTPqAGd8nFd9FoQXQhrxlEEN/V+nkMQYqv+CyWbjmq4DRlB/F78+3OiQAiphgj7VKxlKUO4BiiFPycXpfzZGvLg/eg0v8mbsUu0nz+WHWB3AQkXElZhLMg/REGjMs+O3ZFev+4th rsa-key-20220408
